version,name,label,window,start,end,entry_session,allocation,take_profit_atr,hard_stop_atr,return_pct,max_dd_pct,sharpe,closed_trades,win_rate_pct,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,take_profit,stop_loss,indicator_exit,signal_bars,non_regular_signal_bars,regular_entry_trades,notes
V13,time_v6_long_tp10_sl9_max2,全时段 V6 long-only,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,all Binance 15m bars,2.0,10.0,9.0,-5.58,-18.52,-4.77,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,只去掉空头，保留 HYPE V6/V35 类连续时间信号。
V14,time_v6_long_tp10_sl9_max3,全时段 V6 long-only,1W,2026-06-09 23:45:00+00:00,2026-06-16 23:45:00+00:00,all Binance 15m bars,3.0,10.0,9.0,-8.71,-26.66,-4.78,0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,0,0,只去掉空头，保留 HYPE V6/V35 类连续时间信号。
V1,regular_overnight_v6_long_tp10_sl9_max2,常规盘 + 夜盘,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,regular session + 20:00-04:00 ET tradifi overnight,2.0,10.0,9.0,9.01,-28.16,2.25,3,66.67,6.39,15.49,16.74,-13.06,2,1,0,66,0,3,当前主候选：放开夜盘，排除盘前和 16:00-20:00 盘后。
V2,regular_overnight_v6_long_tp10_sl9_max3,常规盘 + 夜盘,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,regular session + 20:00-04:00 ET tradifi overnight,3.0,10.0,9.0,9.76,-40.07,2.21,3,66.67,9.58,23.24,25.1,-19.6,2,1,0,66,0,3,当前主候选：放开夜盘，排除盘前和 16:00-20:00 盘后。
V3,session_gated_v6_long_tp10_sl9_max2,美股常规盘,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,10.0,9.0,9.01,-28.16,2.25,3,66.67,6.39,15.49,16.74,-13.06,2,1,0,66,0,3,只在 regular session 开新仓。
V4,session_gated_v6_long_tp10_sl9_max3,美股常规盘,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,10.0,9.0,9.76,-40.07,2.21,3,66.67,9.58,23.24,25.1,-19.6,2,1,0,66,0,3,只在 regular session 开新仓。
V5,premarket_regular_v6_long_tp10_sl9_max2,盘前 + 常规盘,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,10.0,9.0,9.01,-28.16,2.25,3,66.67,6.39,15.49,16.74,-13.06,2,1,0,67,1,3,放开盘前，不放开盘后和夜盘。
V6,premarket_regular_v6_long_tp10_sl9_max3,盘前 + 常规盘,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,10.0,9.0,9.76,-40.07,2.21,3,66.67,9.58,23.24,25.1,-19.6,2,1,0,67,1,3,放开盘前，不放开盘后和夜盘。
V7,extended_day_v6_long_tp10_sl9_max2,盘前 + 常规盘 + 盘后,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,2.0,10.0,9.0,9.01,-28.16,2.25,3,66.67,6.39,15.49,16.74,-13.06,2,1,0,67,1,3,放开美股 extended day，但不放开 20:00 后夜盘。
V8,extended_day_v6_long_tp10_sl9_max3,盘前 + 常规盘 + 盘后,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,3.0,10.0,9.0,9.76,-40.07,2.21,3,66.67,9.58,23.24,25.1,-19.6,2,1,0,67,1,3,放开美股 extended day，但不放开 20:00 后夜盘。
V9,premarket_regular_overnight_v6_long_tp10_sl9_max2,盘前 + 常规盘 + 夜盘,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays + tradifi overnight,2.0,10.0,9.0,9.01,-28.16,2.25,3,66.67,6.39,15.49,16.74,-13.06,2,1,0,67,1,3,排除 16:00-20:00 盘后，但放开盘前和夜盘。
V10,premarket_regular_overnight_v6_long_tp10_sl9_max3,盘前 + 常规盘 + 夜盘,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays + tradifi overnight,3.0,10.0,9.0,9.76,-40.07,2.21,3,66.67,9.58,23.24,25.1,-19.6,2,1,0,67,1,3,排除 16:00-20:00 盘后，但放开盘前和夜盘。
V11,tradifi_24h5_v6_long_tp10_sl9_max2,TRADIFI 24/5,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,Sunday 20:00 through Friday 20:00 ET,2.0,10.0,9.0,9.01,-28.16,2.25,3,66.67,6.39,15.49,16.74,-13.06,2,1,0,67,1,3,近似放开股票永续可交易 24/5 时段。
V12,tradifi_24h5_v6_long_tp10_sl9_max3,TRADIFI 24/5,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,Sunday 20:00 through Friday 20:00 ET,3.0,10.0,9.0,9.76,-40.07,2.21,3,66.67,9.58,23.24,25.1,-19.6,2,1,0,67,1,3,近似放开股票永续可交易 24/5 时段。
V13,time_v6_long_tp10_sl9_max2,全时段 V6 long-only,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,all Binance 15m bars,2.0,10.0,9.0,9.01,-28.16,2.25,3,66.67,6.39,15.49,16.74,-13.06,2,1,0,67,1,3,只去掉空头，保留 HYPE V6/V35 类连续时间信号。
V14,time_v6_long_tp10_sl9_max3,全时段 V6 long-only,1M,2026-05-18 08:00:00+00:00,2026-06-16 23:45:00+00:00,all Binance 15m bars,3.0,10.0,9.0,9.76,-40.07,2.21,3,66.67,9.58,23.24,25.1,-19.6,2,1,0,67,1,3,只去掉空头，保留 HYPE V6/V35 类连续时间信号。
V1,regular_overnight_v6_long_tp10_sl9_max2,常规盘 + 夜盘,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,regular session + 20:00-04:00 ET tradifi overnight,2.0,10.0,9.0,61.95,-28.16,4.03,9,77.78,7.22,11.18,16.74,-13.06,7,2,0,163,0,9,当前主候选：放开夜盘，排除盘前和 16:00-20:00 盘后。
V2,regular_overnight_v6_long_tp10_sl9_max3,常规盘 + 夜盘,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,regular session + 20:00-04:00 ET tradifi overnight,3.0,10.0,9.0,92.22,-40.07,4.02,9,77.78,10.83,16.77,25.1,-19.6,7,2,0,163,0,9,当前主候选：放开夜盘，排除盘前和 16:00-20:00 盘后。
V3,session_gated_v6_long_tp10_sl9_max2,美股常规盘,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,10.0,9.0,61.95,-28.16,4.03,9,77.78,7.22,11.18,16.74,-13.06,7,2,0,163,0,9,只在 regular session 开新仓。
V4,session_gated_v6_long_tp10_sl9_max3,美股常规盘,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,10.0,9.0,92.22,-40.07,4.02,9,77.78,10.83,16.77,25.1,-19.6,7,2,0,163,0,9,只在 regular session 开新仓。
V5,premarket_regular_v6_long_tp10_sl9_max2,盘前 + 常规盘,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,10.0,9.0,61.95,-28.16,4.03,9,77.78,7.22,11.18,16.74,-13.06,7,2,0,164,1,9,放开盘前，不放开盘后和夜盘。
V6,premarket_regular_v6_long_tp10_sl9_max3,盘前 + 常规盘,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,10.0,9.0,92.22,-40.07,4.02,9,77.78,10.83,16.77,25.1,-19.6,7,2,0,164,1,9,放开盘前，不放开盘后和夜盘。
V7,extended_day_v6_long_tp10_sl9_max2,盘前 + 常规盘 + 盘后,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,2.0,10.0,9.0,61.95,-28.16,4.03,9,77.78,7.22,11.18,16.74,-13.06,7,2,0,164,1,9,放开美股 extended day，但不放开 20:00 后夜盘。
V8,extended_day_v6_long_tp10_sl9_max3,盘前 + 常规盘 + 盘后,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,3.0,10.0,9.0,92.22,-40.07,4.02,9,77.78,10.83,16.77,25.1,-19.6,7,2,0,164,1,9,放开美股 extended day，但不放开 20:00 后夜盘。
V9,premarket_regular_overnight_v6_long_tp10_sl9_max2,盘前 + 常规盘 + 夜盘,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays + tradifi overnight,2.0,10.0,9.0,61.95,-28.16,4.03,9,77.78,7.22,11.18,16.74,-13.06,7,2,0,164,1,9,排除 16:00-20:00 盘后，但放开盘前和夜盘。
V10,premarket_regular_overnight_v6_long_tp10_sl9_max3,盘前 + 常规盘 + 夜盘,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays + tradifi overnight,3.0,10.0,9.0,92.22,-40.07,4.02,9,77.78,10.83,16.77,25.1,-19.6,7,2,0,164,1,9,排除 16:00-20:00 盘后，但放开盘前和夜盘。
V11,tradifi_24h5_v6_long_tp10_sl9_max2,TRADIFI 24/5,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,Sunday 20:00 through Friday 20:00 ET,2.0,10.0,9.0,61.95,-28.16,4.03,9,77.78,7.22,11.18,16.74,-13.06,7,2,0,164,1,9,近似放开股票永续可交易 24/5 时段。
V12,tradifi_24h5_v6_long_tp10_sl9_max3,TRADIFI 24/5,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,Sunday 20:00 through Friday 20:00 ET,3.0,10.0,9.0,92.22,-40.07,4.02,9,77.78,10.83,16.77,25.1,-19.6,7,2,0,164,1,9,近似放开股票永续可交易 24/5 时段。
V13,time_v6_long_tp10_sl9_max2,全时段 V6 long-only,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,all Binance 15m bars,2.0,10.0,9.0,61.95,-28.16,4.03,9,77.78,7.22,11.18,16.74,-13.06,7,2,0,164,1,9,只去掉空头，保留 HYPE V6/V35 类连续时间信号。
V14,time_v6_long_tp10_sl9_max3,全时段 V6 long-only,3M,2026-03-18 23:45:00+00:00,2026-06-16 23:45:00+00:00,all Binance 15m bars,3.0,10.0,9.0,92.22,-40.07,4.02,9,77.78,10.83,16.77,25.1,-19.6,7,2,0,164,1,9,只去掉空头，保留 HYPE V6/V35 类连续时间信号。
V1,regular_overnight_v6_long_tp10_sl9_max2,常规盘 + 夜盘,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,regular session + 20:00-04:00 ET tradifi overnight,2.0,10.0,9.0,415.63,-28.16,4.82,29,82.76,6.78,9.41,16.74,-13.06,24,5,0,457,0,29,当前主候选：放开夜盘，排除盘前和 16:00-20:00 盘后。
V2,regular_overnight_v6_long_tp10_sl9_max3,常规盘 + 夜盘,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,regular session + 20:00-04:00 ET tradifi overnight,3.0,10.0,9.0,923.81,-40.07,4.81,29,82.76,10.17,14.11,25.1,-19.6,24,5,0,457,0,29,当前主候选：放开夜盘，排除盘前和 16:00-20:00 盘后。
V3,session_gated_v6_long_tp10_sl9_max2,美股常规盘,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,2.0,10.0,9.0,415.63,-28.16,4.82,29,82.76,6.78,9.41,16.74,-13.06,24,5,0,457,0,29,只在 regular session 开新仓。
V4,session_gated_v6_long_tp10_sl9_max3,美股常规盘,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,09:30-16:00 ET weekdays,3.0,10.0,9.0,923.81,-40.07,4.81,29,82.76,10.17,14.11,25.1,-19.6,24,5,0,457,0,29,只在 regular session 开新仓。
V5,premarket_regular_v6_long_tp10_sl9_max2,盘前 + 常规盘,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,2.0,10.0,9.0,265.8,-28.16,3.68,33,72.73,5.03,8.95,16.74,-13.06,24,8,1,466,9,29,放开盘前，不放开盘后和夜盘。
V6,premarket_regular_v6_long_tp10_sl9_max3,盘前 + 常规盘,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays,3.0,10.0,9.0,497.72,-40.07,3.67,33,72.73,7.54,13.42,25.1,-19.6,24,8,1,466,9,29,放开盘前，不放开盘后和夜盘。
V7,extended_day_v6_long_tp10_sl9_max2,盘前 + 常规盘 + 盘后,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,2.0,10.0,9.0,235.73,-28.16,3.46,34,70.59,4.64,8.74,16.74,-13.06,24,9,1,467,10,29,放开美股 extended day，但不放开 20:00 后夜盘。
V8,extended_day_v6_long_tp10_sl9_max3,盘前 + 常规盘 + 盘后,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-20:00 ET weekdays,3.0,10.0,9.0,424.59,-40.22,3.45,34,70.59,6.97,13.1,25.1,-19.6,24,9,1,467,10,29,放开美股 extended day，但不放开 20:00 后夜盘。
V9,premarket_regular_overnight_v6_long_tp10_sl9_max2,盘前 + 常规盘 + 夜盘,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays + tradifi overnight,2.0,10.0,9.0,265.8,-28.16,3.68,33,72.73,5.03,8.95,16.74,-13.06,24,8,1,466,9,29,排除 16:00-20:00 盘后，但放开盘前和夜盘。
V10,premarket_regular_overnight_v6_long_tp10_sl9_max3,盘前 + 常规盘 + 夜盘,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,04:00-16:00 ET weekdays + tradifi overnight,3.0,10.0,9.0,497.72,-40.07,3.67,33,72.73,7.54,13.42,25.1,-19.6,24,8,1,466,9,29,排除 16:00-20:00 盘后，但放开盘前和夜盘。
V11,tradifi_24h5_v6_long_tp10_sl9_max2,TRADIFI 24/5,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,Sunday 20:00 through Friday 20:00 ET,2.0,10.0,9.0,235.73,-28.16,3.46,34,70.59,4.64,8.74,16.74,-13.06,24,9,1,467,10,29,近似放开股票永续可交易 24/5 时段。
V12,tradifi_24h5_v6_long_tp10_sl9_max3,TRADIFI 24/5,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,Sunday 20:00 through Friday 20:00 ET,3.0,10.0,9.0,424.59,-40.22,3.45,34,70.59,6.97,13.1,25.1,-19.6,24,9,1,467,10,29,近似放开股票永续可交易 24/5 时段。
V13,time_v6_long_tp10_sl9_max2,全时段 V6 long-only,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,all Binance 15m bars,2.0,10.0,9.0,235.73,-28.16,3.46,34,70.59,4.64,8.74,16.74,-13.06,24,9,1,467,10,29,只去掉空头，保留 HYPE V6/V35 类连续时间信号。
V14,time_v6_long_tp10_sl9_max3,全时段 V6 long-only,ALL,2025-07-24 15:45:00+00:00,2026-06-16 23:45:00+00:00,all Binance 15m bars,3.0,10.0,9.0,424.59,-40.22,3.45,34,70.59,6.97,13.1,25.1,-19.6,24,9,1,467,10,29,只去掉空头，保留 HYPE V6/V35 类连续时间信号。
